#"Step","Time (ps)","Temperature (K)","Speed (ns/day)"
340000,679.9999999977439,300.3421192706646,476
345000,689.9999999975074,300.6471036349029,476
350000,699.999999997271,301.9449564825752,476
355000,709.9999999970345,298.4742945565504,476
360000,719.999999996798,300.9165352328882,476
365000,729.9999999965615,300.1745038969303,476
370000,739.9999999963251,302.00102726318335,476
375000,749.9999999960886,300.0426181688832,476
380000,759.9999999958521,299.61735578946025,476
385000,769.9999999956157,298.08637584765074,476
390000,779.9999999953792,300.93026549895984,476
395000,789.9999999951427,300.25018618479373,476
400000,799.9999999949063,299.9119705968748,476
405000,809.9999999946698,300.68703416714993,476
410000,819.9999999944333,301.4802057694905,476
415000,829.9999999941969,301.9653418373547,476
420000,839.9999999939604,301.4092992263477,476
425000,849.9999999937239,298.17742453635117,476
430000,859.9999999934874,297.52089229684896,476
435000,869.999999993251,299.5845888742941,476
440000,879.9999999930145,302.7251053365806,476
445000,889.999999992778,299.3000119747645,476
450000,899.9999999925416,301.99757811421847,476
455000,909.9999999923051,301.3552404493024,476
460000,919.9999999920686,301.757508502293,476
465000,929.9999999918322,301.83843084339145,476
470000,939.9999999915957,300.3112095895565,476
475000,949.9999999913592,301.6982981117297,476
480000,959.9999999911228,299.58273164023615,476
485000,969.9999999908863,297.01461913661046,476
490000,979.9999999906498,297.66602187252397,476
495000,989.9999999904134,298.86486645696147,476
500000,999.9999999901769,299.4230758410361,476
505000,1009.9999999899404,298.68570970015253,476
510000,1019.999999989704,300.3613770190517,476
515000,1029.9999999894676,302.70673198536394,476
520000,1039.9999999892311,299.21433599887473,476
525000,1049.9999999889947,298.1594712737905,476
530000,1059.9999999887582,300.96840512693655,476
535000,1069.9999999885217,301.9362893903045,476
540000,1079.9999999882853,303.42366855160964,476
545000,1089.9999999880488,301.33737562645877,476
550000,1099.9999999878123,298.5158391136335,476
555000,1109.9999999875758,300.4828710803457,476
560000,1119.9999999873394,302.156769604904,476
565000,1129.999999987103,297.9738584176371,476
570000,1139.9999999868664,299.12333153003283,476
575000,1149.99999998663,299.9621159164407,476
580000,1159.9999999863935,299.35491092912173,476
585000,1169.999999986157,301.25857583856947,476
590000,1179.9999999859206,299.0835557672907,476
595000,1189.999999985684,300.4177352287402,476
600000,1199.9999999854476,300.73903672077387,476
605000,1209.9999999852112,301.00599200668177,476
610000,1219.9999999849747,302.08170639505994,476
615000,1229.9999999847382,301.06829778734175,476
620000,1239.9999999845018,302.2270791799568,476
625000,1249.9999999842653,300.91660156267596,476
630000,1259.9999999840288,300.704854770135,476
635000,1269.9999999837923,301.902638077968,476
640000,1279.9999999835559,296.56404088818266,476
645000,1289.9999999833194,299.20761458037913,476
650000,1299.999999983083,300.4019929591058,476
655000,1309.9999999828465,298.44179296053545,476
660000,1319.99999998261,298.38194138202357,476
665000,1329.9999999823735,300.1866643580243,476
670000,1339.999999982137,297.83124937389795,476
675000,1349.9999999819006,302.5394924804271,476
680000,1359.9999999816641,299.5928358779088,476
685000,1369.9999999814277,301.0633893830456,476
690000,1379.9999999811912,298.7397242573392,476
695000,1389.9999999809547,301.42711982933275,476
700000,1399.9999999807183,300.3582595190258,476
705000,1409.9999999804818,298.7889851797347,476
710000,1419.9999999802453,301.28271988132343,476
715000,1429.9999999800089,297.8780782040746,476
720000,1439.9999999797724,298.47710251756666,476
725000,1449.999999979536,303.7998468880712,476
730000,1459.9999999792994,299.1460163174555,476
735000,1469.999999979063,298.9228829113447,476
740000,1479.9999999788265,300.18381217714955,476
745000,1489.99999997859,297.70157463877706,476
750000,1499.9999999783536,297.5537697616614,476
755000,1509.999999978117,298.39666659491195,476
760000,1519.9999999778806,300.2996239866233,476
765000,1529.9999999776442,302.65150138206775,476
770000,1539.9999999774077,301.4315197052559,476
775000,1549.9999999771712,301.26392644145085,476
780000,1559.9999999769348,300.32454187690143,476
785000,1569.9999999766983,300.07965230039684,476
790000,1579.9999999764618,296.48614760739304,476
795000,1589.9999999762254,302.284255457028,476
800000,1599.9999999759889,298.7790799314254,476
805000,1609.9999999757524,301.9372180073335,476
810000,1619.999999975516,303.14422115566873,476
815000,1629.9999999752795,300.36400810063384,476
820000,1639.999999975043,303.23471709613756,476
825000,1649.9999999748065,300.15084627262013,476
830000,1659.99999997457,301.21095105093934,476
835000,1669.9999999743336,300.6631775534763,476
840000,1679.9999999740971,296.5782133528395,476
845000,1689.9999999738607,300.53555904177676,476
850000,1699.9999999736242,300.4255400337697,476
855000,1709.9999999733877,300.22051465972424,475
860000,1719.9999999731513,298.44393762367383,475
865000,1729.9999999729148,301.16241975620954,476
870000,1739.9999999726783,300.79192367156827,475
875000,1749.9999999724419,301.50090066327965,475
880000,1759.9999999722054,300.905546598045,475
885000,1769.999999971969,299.98358465775397,475
890000,1779.9999999717324,300.9642926800938,475
895000,1789.999999971496,300.49593804853953,475
900000,1799.9999999712595,301.2847761047448,475
905000,1809.999999971023,299.6633886621834,475
910000,1819.9999999707866,301.44765995361706,475
915000,1829.99999997055,299.82034705001354,475
920000,1839.9999999703136,301.6298457707349,475
925000,1849.9999999700772,300.23095054633586,475
930000,1859.9999999698407,301.19494346215373,475
935000,1869.9999999696042,300.14456705270976,475
940000,1879.9999999693678,299.83257384089535,475
945000,1889.9999999691313,300.18956075875764,475
950000,1899.9999999688948,299.28431392498857,475
955000,1909.9999999686584,300.942182750832,475
960000,1919.999999968422,301.5197825428693,475
965000,1929.9999999681854,300.2080446596206,475
970000,1939.999999967949,299.96969962217753,475
975000,1949.9999999677125,302.9146316502134,475
980000,1959.999999967476,301.1176029295957,475
985000,1969.9999999672395,300.84934315786137,475
990000,1979.999999967003,299.87471536606853,475
995000,1989.9999999667666,301.0579503404472,475
1000000,1999.9999999665301,299.3381958225998,475
1005000,2009.9999999662937,301.3590433571354,475
1010000,2019.9999999660572,300.77401462886615,475
1015000,2029.9999999658207,298.65535276727593,475
1020000,2039.9999999655843,301.39302631841093,475
1025000,2049.999999965348,299.4183885360326,475
1030000,2059.9999999651113,302.1113558102001,475
1035000,2069.999999964875,300.891948991549,475
1040000,2079.9999999646384,299.584323555143,475
1045000,2089.999999964402,300.587075176957,475
1050000,2099.9999999641655,299.1054888171185,475
1055000,2109.999999963929,297.7664009513729,475
1060000,2119.9999999636925,301.4349688542207,475
1065000,2129.999999963456,300.0096522643538,475
1070000,2139.9999999632196,300.6060233863344,475
1075000,2149.999999962983,300.3040901923342,475
1080000,2159.9999999627466,301.90955848582695,475
1085000,2169.99999996251,300.4213833670684,475
1090000,2179.9999999622737,301.55953619568214,475
1095000,2189.9999999620372,299.7234834499173,475
1100000,2199.9999999618008,303.99030181873303,475
1105000,2209.9999999615643,299.14121846280574,475
1110000,2219.999999961328,304.0375728474949,475
1115000,2229.9999999610914,298.5316256031265,475
1120000,2239.999999960855,301.4731305921267,475
1125000,2249.9999999606184,301.0188599855122,475
1130000,2259.999999960382,299.2252140840716,475
1135000,2269.9999999601455,302.8998622174665,475
1140000,2279.999999959909,297.2102920105781,475
1145000,2289.9999999596726,301.0691821845122,475
1150000,2299.999999959436,301.11682908207155,475
1155000,2309.9999999591996,301.7003764450803,475
1160000,2319.999999958963,301.2087400580132,475
1165000,2329.9999999587267,302.37685184077674,475
1170000,2339.99999995849,298.14722237297946,475
1175000,2349.9999999582537,302.2443912545688,475
1180000,2359.9999999580173,301.39475089289334,475
1185000,2369.999999957781,302.3258442339696,475
1190000,2379.9999999575443,300.35883437718655,475
1195000,2389.999999957308,299.3131673826753,475
1200000,2399.9999999570714,300.0679119279588,475
1205000,2409.999999956835,299.5164018524505,475
1210000,2419.9999999565985,300.49098542438486,475
1215000,2429.999999956362,303.12766081865163,475
1220000,2439.9999999561255,298.4373930846123,475
1225000,2449.999999955889,298.20798045859107,475
1230000,2459.9999999556526,301.83330133980274,475
1235000,2469.999999955416,300.0875897650019,475
1240000,2479.9999999551796,297.0859457684093,475
1245000,2489.999999954943,304.37099058076404,475
1250000,2499.9999999547067,300.4630163638686,475
1255000,2509.9999999544702,300.98158264477667,475
1260000,2519.9999999542338,303.6501184471098,475
1265000,2529.9999999539973,299.0936157851049,475
1270000,2539.999999953761,299.16856844530264,475
1275000,2549.9999999535244,298.7562403744979,475
1280000,2559.999999953288,299.4475957525876,475
1285000,2569.9999999530514,299.3778831456249,475
1290000,2579.999999952815,302.2254209352621,475
1295000,2589.9999999525785,301.14291879860053,475
1300000,2599.999999952342,299.1119670263923,475
1305000,2609.9999999521056,297.67373823783635,475
1310000,2619.999999951869,300.73625086968684,475
1315000,2629.9999999516326,302.21454285006524,475
1320000,2639.999999951396,299.7581960388584,475
1325000,2649.9999999511597,301.6182159479432,475
1330000,2659.999999950923,299.2899740668796,475
1335000,2669.9999999506867,299.8881139832012,475
1340000,2679.9999999504503,298.5922510291625,475
1345000,2689.999999950214,299.5623020655982,475
1350000,2699.9999999499773,302.0009388234663,475
1355000,2709.999999949741,298.83683106665745,475
1360000,2719.9999999495044,301.01370837199414,475
1365000,2729.999999949268,300.6934902664944,475
1370000,2739.9999999490315,300.7852464729312,475
1375000,2749.999999948795,300.672684823059,475
1380000,2759.9999999485585,298.40745624039175,475
1385000,2769.999999948322,300.3357516110372,475
1390000,2779.9999999480856,299.2276240663611,475
1395000,2789.999999947849,302.6000736866046,475
1400000,2799.9999999476127,301.5789487135741,475
1405000,2809.999999947376,302.2035099953636,475
1410000,2819.9999999471397,301.0844380357029,475
1415000,2829.9999999469032,299.43516997234235,475
1420000,2839.999999946667,299.5048162495173,475
1425000,2849.9999999464303,300.674630496834,475
1430000,2859.999999946194,300.5359791304328,475
1435000,2869.9999999459574,301.36609642456995,475
1440000,2879.999999945721,303.01591723616207,475
1445000,2889.9999999454844,298.41700772983285,475
1450000,2899.999999945248,299.9317589835642,475
1455000,2909.9999999450115,303.3131631251588,475
1460000,2919.999999944775,298.5146230675241,475
1465000,2929.9999999445386,301.7256259842974,475
