#"Step","Time (ps)","Temperature (K)","Speed (ns/day)"
5000,10.000000000000009,299.40461405010245,0
10000,19.999999999999794,301.6210017990302,488
15000,29.99999999999425,299.1593707147297,488
20000,40.00000000000292,299.2702741199073,487
25000,50.00000000001514,300.1406314853011,487
30000,60.00000000002736,299.8282845146186,486
35000,70.00000000001826,301.2168765119815,486
40000,79.99999999999496,302.9545400725311,486
45000,89.99999999997165,302.1854682930859,485
50000,99.99999999994834,300.2269486491395,485
55000,109.99999999992504,298.2971719132335,484
60000,119.99999999990173,301.81844346733874,483
65000,129.99999999989262,299.5320114625094,482
70000,139.99999999994037,298.0615242871604,482
75000,149.99999999998812,300.7274068979821,481
80000,160.00000000003587,299.1575798104595,481
85000,170.00000000008362,301.0519806595465,480
90000,180.00000000013137,300.2045955106557,480
95000,190.0000000001791,297.96043769057513,480
100000,200.00000000022686,298.9242095071004,479
105000,210.0000000002746,298.9914236920565,479
110000,220.00000000032236,299.9504197638612,479
115000,230.0000000003701,300.9896748788865,479
120000,240.00000000041786,300.2834616283329,478
125000,250.0000000004656,301.9998333270032,478
130000,260.00000000051335,300.34371118557146,478
135000,270.0000000005611,301.80446999204526,478
140000,280.00000000060885,300.83096980664476,478
145000,290.0000000006566,301.7875780060891,478
150000,300.00000000070435,299.371228056917,477
155000,310.0000000007521,300.85896097709025,477
160000,320.00000000079984,299.64698309467116,477
165000,330.0000000008476,299.1736537290329,477
170000,340.00000000089534,301.4258153435063,477
175000,350.0000000009431,301.46397708141234,477
180000,360.00000000099084,298.7125511542764,477
185000,370.0000000010386,298.83218798151245,477
190000,380.00000000108633,301.24066679586736,477
195000,390.0000000011341,299.6242098675314,477
200000,400.00000000118183,299.73051440742256,477
205000,410.0000000012296,301.8671295315734,477
210000,420.00000000127733,299.91031235218014,477
215000,430.0000000013251,298.55426617069065,477
220000,440.0000000013728,300.11505029714516,477
225000,450.0000000014206,300.5601673930453,477
230000,460.0000000014683,300.5064844847974,477
235000,470.00000000151607,298.05604102470346,477
240000,480.0000000015638,300.90017388523444,477
245000,490.00000000161157,301.84134935405405,477
250000,500.0000000016593,299.8694532029042,477
255000,510.00000000170706,298.2679425867493,477
260000,520.0000000015274,302.1532762360806,477
265000,530.0000000012909,298.79278808756777,477
270000,540.0000000010544,301.39972562697733,477
275000,550.000000000818,297.11234502394797,477
280000,560.0000000005815,303.093589417659,477
285000,570.000000000345,298.9965089757867,477
290000,580.0000000001086,299.4189412842642,477
295000,589.9999999998721,301.6262860721238,477
300000,599.9999999996356,300.2300219293069,477
305000,609.9999999993992,300.9505624140222,477
310000,619.9999999991627,300.45240359782287,477
315000,629.9999999989262,302.5323730832048,476
320000,639.9999999986898,301.83953633985453,476
325000,649.9999999984533,301.6535918347622,476
330000,659.9999999982168,300.48698352718844,476
335000,669.9999999979804,299.47098805774664,476
340000,679.9999999977439,301.01282397482373,476
345000,689.9999999975074,298.15319205388016,476
350000,699.999999997271,302.8816657456839,476
355000,709.9999999970345,299.11347050158207,476
360000,719.999999996798,300.61429249987833,476
365000,729.9999999965615,297.2833874367178,476
370000,739.9999999963251,301.7018357004116,476
375000,749.9999999960886,297.6873358443324,476
380000,759.9999999958521,300.2878172843975,476
385000,769.9999999956157,298.62638875994287,476
390000,779.9999999953792,301.3568765840678,476
395000,789.9999999951427,296.830443425859,476
400000,799.9999999949063,300.1551355988969,476
405000,809.9999999946698,299.10442754051394,476
410000,819.9999999944333,296.44254682688864,476
415000,829.9999999941969,302.03255602231076,476
420000,839.9999999939604,299.8319105430175,476
425000,849.9999999937239,301.26211342725134,476
430000,859.9999999934874,300.7429722881825,476
435000,869.999999993251,301.3357173817642,476
440000,879.9999999930145,299.77263382266636,476
445000,889.999999992778,299.6036034134594,476
450000,899.9999999925416,300.87043603037716,476
455000,909.9999999923051,301.32777991715915,476
460000,919.9999999920686,302.1511536828715,476
465000,929.9999999918322,301.6928590691313,476
470000,939.9999999915957,301.87309921247413,476
475000,949.9999999913592,298.9676334081707,476
480000,959.9999999911228,297.8276454554283,476
485000,969.9999999908863,297.7652954549098,476
490000,979.9999999906498,300.59021478691216,476
495000,989.9999999904134,301.01116573012905,476
500000,999.9999999901769,300.6353853723941,476
505000,1009.9999999899404,299.8806187171814,476
510000,1019.999999989704,301.23394537737175,476
515000,1029.9999999894676,300.53423244602106,476
520000,1039.9999999892311,297.1540443505359,476
525000,1049.9999999889947,298.9582145783051,476
530000,1059.9999999887582,299.2549961587873,476
535000,1069.9999999885217,298.48579171976655,476
540000,1079.9999999882853,298.7640009596688,476
545000,1089.9999999880488,298.7088145762312,476
550000,1099.9999999878123,300.9391315805938,476
555000,1109.9999999875758,301.1468322560799,476
560000,1119.9999999873394,300.0699018215924,476
565000,1129.999999987103,299.06584571395194,476
570000,1139.9999999868664,299.6181959667722,476
575000,1149.99999998663,300.30214451855915,476
580000,1159.9999999863935,301.2483389413212,476
585000,1169.999999986157,302.6059770377176,476
590000,1179.9999999859206,299.98502180315603,476
595000,1189.999999985684,297.3747677743572,476
600000,1199.9999999854476,299.8699838412064,476
605000,1209.9999999852112,302.60294797740875,476
610000,1219.9999999849747,299.5539445123372,476
615000,1229.9999999847382,298.38948086790185,476
620000,1239.9999999845018,301.66898034552844,476
625000,1249.9999999842653,300.14607052789955,476
630000,1259.9999999840288,299.74316128696034,476
635000,1269.9999999837923,299.9783888243774,476
640000,1279.9999999835559,300.5046935805272,476
645000,1289.9999999833194,300.2048608298069,476
650000,1299.999999983083,300.54756473336596,476
655000,1309.9999999828465,301.7399089986005,476
660000,1319.99999998261,299.82574187275344,476
665000,1329.9999999823735,297.30578479506016,476
670000,1339.999999982137,300.49116230381895,476
675000,1349.9999999819006,303.0593632471616,476
680000,1359.9999999816641,301.46574587575327,476
685000,1369.9999999814277,298.5754474829235,476
690000,1379.9999999811912,301.68178199457105,476
695000,1389.9999999809547,299.6745320665314,476
700000,1399.9999999807183,302.825440195571,476
705000,1409.9999999804818,301.8064156658203,476
710000,1419.9999999802453,298.4508801414621,476
715000,1429.9999999800089,299.7700911808013,476
720000,1439.9999999797724,300.6488724292439,476
725000,1449.999999979536,303.0877523963339,476
730000,1459.9999999792994,299.9301007388695,476
735000,1469.999999979063,301.5740403092779,476
740000,1479.9999999788265,299.1661805729424,476
745000,1489.99999997859,298.4454410988637,476
750000,1499.9999999783536,297.9837415560171,476
755000,1509.999999978117,300.68645930898913,476
760000,1519.9999999778806,299.55095967188686,476
765000,1529.9999999776442,301.24825050160416,476
770000,1539.9999999774077,299.61649350221904,476
775000,1549.9999999771712,301.25127956191307,476
780000,1559.9999999769348,299.73579868051615,476
785000,1569.9999999766983,302.6182038285994,476
790000,1579.9999999764618,297.5823136803384,476
795000,1589.9999999762254,299.9585562178296,476
800000,1599.9999999759889,299.78565657100165,476
805000,1609.9999999757524,299.7809250461396,476
810000,1619.999999975516,301.0309320068892,476
815000,1629.9999999752795,301.0629914043189,476
820000,1639.999999975043,299.95148104046575,476
825000,1649.9999999748065,300.4530668957007,476
830000,1659.99999997457,299.85592192619595,476
835000,1669.9999999743336,301.0147475386695,476
840000,1679.9999999740971,300.2967054759607,476
845000,1689.9999999738607,300.9226596832937,476
850000,1699.9999999736242,300.7108244510357,476
855000,1709.9999999733877,299.84495540128205,476
860000,1719.9999999731513,302.15962178577877,476
865000,1729.9999999729148,301.1045138514727,476
870000,1739.9999999726783,301.156803834177,476
875000,1749.9999999724419,301.53488362455516,476
880000,1759.9999999722054,299.66312334303234,476
885000,1769.999999971969,300.6892893799346,476
890000,1779.9999999717324,301.35700924364335,476
895000,1789.999999971496,300.7333323590243,476
900000,1799.9999999712595,299.44777263202167,476
905000,1809.999999971023,299.7378549039375,476
910000,1819.9999999707866,300.15498082939206,476
915000,1829.99999997055,300.5744504073484,476
920000,1839.9999999703136,300.20612109577485,476
925000,1849.9999999700772,299.89280128820474,476
930000,1859.9999999698407,299.95406790218937,476
935000,1869.9999999696042,298.8241178573318,476
940000,1879.9999999693678,300.5519424993598,476
945000,1889.9999999691313,300.3626372850196,476
950000,1899.9999999688948,299.05784191955917,476
955000,1909.9999999686584,299.7203880598206,476
960000,1919.999999968422,299.3604384114372,476
965000,1929.9999999681854,301.4412701840604,476
970000,1939.999999967949,299.6526432365622,476
975000,1949.9999999677125,300.3583700686721,476
980000,1959.999999967476,301.50762208177525,476
985000,1969.9999999672395,302.16943859437106,476
990000,1979.999999967003,302.40563896867565,476
995000,1989.9999999667666,301.1631493838752,476
1000000,1999.9999999665301,301.24672491648505,476
1005000,2009.9999999662937,299.25201131833694,476
1010000,2019.9999999660572,297.9543353500988,476
1015000,2029.9999999658207,300.2557136671092,476
1020000,2039.9999999655843,301.30361376447587,476
1025000,2049.999999965348,300.3467402458803,476
1030000,2059.9999999651113,299.3736601491358,476
1035000,2069.999999964875,301.3617849883639,476
1040000,2079.9999999646384,300.61515478711954,476
1045000,2089.999999964402,301.5044382519616,476
1050000,2099.9999999641655,300.2829088801013,476
1055000,2109.999999963929,301.1942359444174,476
1060000,2119.9999999636925,300.0528771760607,476
1065000,2129.999999963456,301.4703889608982,476
1070000,2139.9999999632196,301.86124829038977,476
1075000,2149.999999962983,299.2413985522913,476
1080000,2159.9999999627466,300.9058340271255,476
1085000,2169.99999996251,298.20464185927256,476
1090000,2179.9999999622737,301.0945864932341,476
1095000,2189.9999999620372,300.73014852921057,476
1100000,2199.9999999618008,299.65511954863956,476
1105000,2209.9999999615643,301.20818730978164,476
1110000,2219.999999961328,301.27962449122674,476
1115000,2229.9999999610914,301.2870534274588,476
1120000,2239.999999960855,300.43825324309523,476
1125000,2249.9999999606184,299.49625970689294,476
1130000,2259.999999960382,302.4654684372584,476
1135000,2269.9999999601455,301.43828534361,476
1140000,2279.999999959909,300.11429855955026,476
1145000,2289.9999999596726,300.4321951224775,476
1150000,2299.999999959436,301.0847475747126,476
1155000,2309.9999999591996,301.21243241619993,476
1160000,2319.999999958963,297.5694235915788,476
1165000,2329.9999999587267,298.8188999140261,476
1170000,2339.99999995849,301.46548055660213,476
1175000,2349.9999999582537,300.1317211838086,476
1180000,2359.9999999580173,301.6954238209256,476
1185000,2369.999999957781,300.7903759765199,476
1190000,2379.9999999575443,301.59082174558773,476
1195000,2389.999999957308,297.1249476836272,476
1200000,2399.9999999570714,299.9843585052782,476
1205000,2409.999999956835,299.0018595786681,476
1210000,2419.9999999565985,302.50999783479176,476
1215000,2429.999999956362,296.98010553703267,476
1220000,2439.9999999561255,297.7141330785978,476
1225000,2449.999999955889,299.6937677049893,476
1230000,2459.9999999556526,298.47292374093615,476
1235000,2469.999999955416,299.80126618106056,476
1240000,2479.9999999551796,300.0695922825827,476
1245000,2489.999999954943,300.34298155790583,476
1250000,2499.9999999547067,302.2609515915859,476
1255000,2509.9999999544702,300.41304792373677,476
1260000,2519.9999999542338,302.63266372233664,476
1265000,2529.9999999539973,299.36366646110946,476
1270000,2539.999999953761,297.8763315196629,476
1275000,2549.9999999535244,299.00964227376824,476
1280000,2559.999999953288,298.20121482023694,476
1285000,2569.9999999530514,302.2643565206923,476
1290000,2579.999999952815,303.6335581100926,476
1295000,2589.9999999525785,302.0015579014856,476
1300000,2599.999999952342,299.2178293676981,476
1305000,2609.9999999521056,298.71160042731816,476
1310000,2619.999999951869,299.6981012511246,476
1315000,2629.9999999516326,298.03123368407165,476
1320000,2639.999999951396,300.62379976946096,476
1325000,2649.9999999511597,302.10417008319,476
1330000,2659.999999950923,298.94105727319794,476
1335000,2669.9999999506867,301.2968039062632,476
1340000,2679.9999999504503,300.5501737050189,476
1345000,2689.999999950214,301.02350307065717,476
1350000,2699.9999999499773,299.3167270812865,476
1355000,2709.999999949741,302.041952742247,476
1360000,2719.9999999495044,301.562565255991,476
1365000,2729.999999949268,300.0578740200739,476
1370000,2739.9999999490315,302.15336467579766,476
1375000,2749.999999948795,298.8860256592651,476
1380000,2759.9999999485585,299.4283601141297,476
1385000,2769.999999948322,302.51063902274035,476
1390000,2779.9999999480856,301.33750828603434,476
1395000,2789.999999947849,299.0855677708536,476
1400000,2799.9999999476127,302.31472293955085,476
1405000,2809.999999947376,301.03172796434256,476
1410000,2819.9999999471397,300.466509732692,476
1415000,2829.9999999469032,302.1304808990116,476
1420000,2839.999999946667,300.9941853044559,476
1425000,2849.9999999464303,296.28300157733497,476
1430000,2859.999999946194,299.4576336604725,476
1435000,2869.9999999459574,297.02803986367246,476
1440000,2879.999999945721,298.76669837103873,476
1445000,2889.9999999454844,299.60603550567816,476
1450000,2899.999999945248,301.4999941561799,476
1455000,2909.9999999450115,301.27197445570215,476
1460000,2919.999999944775,301.00263129743394,476
1465000,2929.9999999445386,299.54028057605336,476
1470000,2939.999999944302,299.8431866069411,476
