#"Step","Time (ps)","Temperature (K)","Density (g/mL)"
100,0.20000000000000015,166.97823190275864,1.009664627981674
200,0.4000000000000003,191.35825393174161,1.009664627981674
300,0.6000000000000004,209.07746078122042,1.009664627981674
400,0.8000000000000006,224.4128413874713,1.0071615202835575
500,1.0000000000000007,236.0038612533646,1.0016940286606804
600,1.2000000000000008,244.35977837958916,1.0009600453488285
700,1.400000000000001,251.0247281158653,1.0000243055933837
800,1.6000000000000012,258.2131746472749,1.0000243055933837
900,1.8000000000000014,263.6559538237422,1.0000243055933837
1000,2.0000000000000013,269.6982879520038,1.0000243055933837
1100,2.1999999999999793,273.3635835853209,1.0000243055933837
1200,2.3999999999999573,274.85823691335315,1.0000243055933837
1300,2.5999999999999353,278.52240494027785,1.0000243055933837
1400,2.7999999999999132,278.50997916003274,0.9977480857750146
1500,2.999999999999891,282.8456257386407,0.9977480857750146
1600,3.199999999999869,283.8336521475662,0.9977480857750146
1700,3.399999999999847,285.6424654604805,0.9977480857750146
1800,3.599999999999825,286.1463065285002,0.9935000303114262
1900,3.799999999999803,287.61318978537946,0.9935000303114262
2000,3.999999999999781,288.93509823608866,0.9935000303114262
2100,4.1999999999997595,290.93308410376756,0.9935000303114262
2200,4.3999999999997375,292.5431954824053,0.9936223522448882
2300,4.599999999999715,293.50811701525214,0.9965321034295769
2400,4.799999999999693,294.7183703231889,0.9934612263203555
2500,4.999999999999671,293.6401132929456,0.9934612263203555
